Key,en,hi,ar,es,fr
Email send successfully!,Email send successfully!,ईमेल सफलतापूर्वक भेजा गया!,إرسال البريد الإلكتروني بنجاح!,¡Envío de correo electrónico exitoso!,E-mail envoyé avec succès !
Can,Can,कर सकना,يستطيع,Poder,Peut
Oops! Failed to upload image.,Oops! Failed to upload image.,उफ़! छवि अपलोड करने में विफल.,أُووبس! فشل تحميل الصورة.,¡Ups! No se pudo cargar la imagen.,Oups ! Échec du téléchargement de l'image.
Role assign failed!,Role assign failed!,भूमिका असाइन करना विफल!,فشل تعيين الدور!,¡Error en la asignación de roles!,Échec de l'attribution du rôle !
New admin created successfully!,New admin created successfully!,नया व्यवस्थापक सफलतापूर्वक बनाया गया!,تم إنشاء المشرف الجديد بنجاح!,¡Nuevo administrador creado exitosamente!,Nouvel administrateur créé avec succès !
Oops! Target admin not found!,Oops! Target admin not found!,उफ़! लक्ष्य व्यवस्थापक नहीं मिला!,أُووبس! لم يتم العثور على المشرف المستهدف!,¡Ups! ¡Administrador objetivo no encontrado!,Oups ! Administrateur cible introuvable !
Failed to assign role.,Failed to assign role.,भूमिका निर्दिष्ट करने में विफल.,فشل في تعيين الدور.,No se pudo asignar el rol.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,व्यवस्थापक जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات المشرف بنجاح!,¡La información del administrador se actualizó exitosamente!,Les informations d'administration ont été mises à jour avec succès !
Admin status updated successfully!,Admin status updated successfully!,व्यवस्थापक स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة المشرف بنجاح!,¡El estado del administrador se actualizó exitosamente!,Le statut d'administrateur a été mis à jour avec succès !
Admin role created successfully!,Admin role created successfully!,व्यवस्थापक भूमिका सफलतापूर्वक बनाई गई!,تم إنشاء دور المشرف بنجاح!,¡El rol de administrador se creó exitosamente!,Rôle d'administrateur créé avec succès !
Oops! Target not found!,Oops! Target not found!,उफ़! लक्ष्य नहीं मिला!,أُووبس! لم يتم العثور على الهدف!,¡Ups! ¡Objetivo no encontrado!,Oups ! Cible introuvable !
Target role not found!,Target role not found!,लक्ष्य भूमिका नहीं मिली!,لم يتم العثور على الدور المستهدف!,¡Rol objetivo no encontrado!,Rôle cible introuvable !
Admin role deleted successfully!,Admin role deleted successfully!,व्यवस्थापक भूमिका सफलतापूर्वक हटा दी गई!,تم حذف دور المشرف بنجاح!,¡El rol de administrador se eliminó correctamente!,Rôle d'administrateur supprimé avec succès !
Permission created successfully!,Permission created successfully!,अनुमति सफलतापूर्वक बनाई गई!,تم إنشاء الإذن بنجاح!,¡Permiso creado exitosamente!,Autorisation créée avec succès !
Target not found!,Target not found!,लक्ष्य नहीं मिला!,لم يتم العثور على الهدف!,¡Objetivo no encontrado!,Cible introuvable !
Permission not found!,Permission not found!,अनुमति नहीं मिली!,لم يتم العثور على إذن!,¡Permiso no encontrado!,Autorisation introuvable !
Permission updated successfully!,Permission updated successfully!,अनुमति सफलतापूर्वक अपडेट की गई!,تم تحديث الإذن بنجاح!,¡Permiso actualizado exitosamente!,Autorisation mise à jour avec succès !
Permission deleted successfully!,Permission deleted successfully!,अनुमति सफलतापूर्वक हटा दी गई!,تم حذف الإذن بنجاح!,¡Permiso eliminado exitosamente!,Autorisation supprimée avec succès !
Role permission not found!,Role permission not found!,भूमिका की अनुमति नहीं मिली!,لم يتم العثور على إذن الدور!,¡Permiso de rol no encontrado!,Autorisation de rôle introuvable !
Permission assign successfully!,Permission assign successfully!,अनुमति सफलतापूर्वक असाइन की गई!,تم تعيين الإذن بنجاح!,¡El permiso se asignó correctamente!,Attribution d'autorisation réussie !
Admin deleted successfully!,Admin deleted successfully!,व्यवस्थापक सफलतापूर्वक हटा दिया गया!,تم حذف المشرف بنجاح!,¡El administrador se eliminó exitosamente!,Administrateur supprimé avec succès !
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक जोड़ी गई!,تمت إضافة الشاشة على متن الطائرة بنجاح!,¡Pantalla integrada agregada con éxito!,Écran intégré ajouté avec succès !
Onboard screen not found!,Onboard screen not found!,ऑनबोर्ड स्क्रीन नहीं मिली!,لم يتم العثور على الشاشة على متن الطائرة!,¡No se encontró la pantalla integrada!,Écran embarqué introuvable !
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.,¡El estado de la pantalla integrada se actualizó exitosamente!,L'état de l'écran intégré a été mis à jour avec succès !.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,ऑनबोर्ड स्क्रीन जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,¡La información de la pantalla a bordo se actualizó exitosamente!,Les informations sur l'écran intégré ont été mises à jour avec succès !
Screen deleted successfully!,Screen deleted successfully!,स्क्रीन सफलतापूर्वक हटा दी गई!,تم حذف الشاشة بنجاح!,¡Pantalla eliminada exitosamente!,Écran supprimé avec succès !
Splash screen updated successfully!,Splash screen updated successfully!,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!,تم تحديث شاشة البداية بنجاح!,¡La pantalla de bienvenida se actualizó correctamente!,Écran de démarrage mis à jour avec succès !
URL settings updated successfully!,URL settings updated successfully!,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث إعدادات URL بنجاح!,¡La configuración de URL se actualizó correctamente!,Paramètres d'URL mis à jour avec succès !
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين البث بنجاح!,¡La configuración de transmisión se actualizó exitosamente!,Configuration de diffusion mise à jour avec succès !
Cookie information updated successfully!,Cookie information updated successfully!,कुकी जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,¡La información de las cookies se actualizó correctamente!,Les informations sur les cookies ont été mises à jour avec succès !
Notifications clear successfully!,Notifications clear successfully!,सूचनाएं सफलतापूर्वक साफ़ हो गईं!,تم مسح الإخطارات بنجاح!,¡Las notificaciones se borran correctamente!,Les notifications sont effacées avec succès !
Extension has been udpated successfully,Extension has been udpated successfully,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है,تم تحديث الامتداد بنجاح,La extensión se ha actualizado correctamente.,L'extension a été mise à jour avec succès
Extension is not found!.,Extension is not found!.,एक्सटेंशन नहीं मिला!,لم يتم العثور على التمديد!.,¡No se encuentra la extensión!.,L'extension n'est pas trouvée !.
Extension status is updated successfully!,Extension status is updated successfully!,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!,تم تحديث حالة الامتداد بنجاح!,¡El estado de la extensión se actualizó correctamente!,Le statut de l'extension a été mis à jour avec succès !
Language updated successfully!,Language updated successfully!,भाषा सफलतापूर्वक अपडेट की गई!,تم تحديث اللغة بنجاح!,¡Idioma actualizado exitosamente!,Langue mise à jour avec succès !
Language (,Language (,भाषा (,لغة (,Idioma (,Langue (
) is not removable.,) is not removable.,) हटाने योग्य नहीं है.,) غير قابل للإزالة.,) no es extraíble.,) n'est pas amovible.
File remove failed!,File remove failed!,फ़ाइल हटाना विफल!,فشل إزالة الملف!,¡Error al eliminar el archivo!,La suppression du fichier a échoué !
Language deleted successfully!,Language deleted successfully!,भाषा सफलतापूर्वक हटा दी गई!,تم حذف اللغة بنجاح!,¡Idioma eliminado exitosamente!,Langue supprimée avec succès !
Please deselect your default language first.,Please deselect your default language first.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें।,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Primero deseleccione su idioma predeterminado.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,भाषा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اللغة بنجاح!,¡El estado del idioma se actualizó exitosamente!,Statut de langue mis à jour avec succès !
Sorry! Language not found!,Sorry! Language not found!,क्षमा मांगना! भाषा नहीं मिली!,آسف! لم يتم العثور على اللغة!,¡Lo siento! ¡Idioma no encontrado!,Désolé! Langue introuvable !
Failed to store new file.,Failed to store new file.,नई फ़ाइल संग्रहीत करने में विफल.,فشل في تخزين الملف الجديد.,No se pudo almacenar el nuevo archivo.,Échec du stockage du nouveau fichier.
Language switch successfully!,Language switch successfully!,भाषा परिवर्तन सफलतापूर्वक!,تبديل اللغة بنجاح!,¡Cambio de idioma exitoso!,Changement de langue réussi !
File does not exists.,File does not exists.,फ़ाइल मौजूद नहीं है.,الملف غير موجود.,El archivo no existe.,Le fichier n'existe pas.
Profile Information Updated Successfully!,Profile Information Updated Successfully!,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الملف الشخصي بنجاح!,¡Información de perfil actualizada con éxito!,Les informations de profil ont été mises à jour avec succès !
Oops! Basic settings not found!,Oops! Basic settings not found!,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,¡Ups! ¡No se encontraron configuraciones básicas!,Oups ! Paramètres de base introuvables !
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,कृपया अपने पुश नोटिफिकेशन को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Configure su notificación push con credenciales válidas.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,उफ़! जानकारी संग्रहीत करने में विफल.,أُووبس! فشل في تخزين المعلومات.,¡Ups! No se pudo almacenar la información.,Oups ! Échec du stockage des informations.
Notification sended successfully!,Notification sended successfully!,अधिसूचना सफलतापूर्वक भेजी गई!,تم إرسال الإخطار بنجاح!,¡Notificación enviada exitosamente!,Notification envoyée avec succès !
Oops! Basic setting not found!,Oops! Basic setting not found!,उफ़! मूल सेटिंग नहीं मिली!,أُووبس! لم يتم العثور على الإعداد الأساسي!,¡Ups! ¡Configuración básica no encontrada!,Oups ! Paramètre de base introuvable !
Push notification configuration updated successfully!,Push notification configuration updated successfully!,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين إشعار الدفع بنجاح!,¡La configuración de notificaciones push se actualizó correctamente!,Configuration des notifications push mise à jour avec succès !
Basic settings not found!,Basic settings not found!,बुनियादी सेटिंग्स नहीं मिलीं!,لم يتم العثور على الإعدادات الأساسية!,¡No se encontraron configuraciones básicas!,Paramètres de base introuvables !
Information updated successfully!,Information updated successfully!,जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث المعلومات بنجاح!,¡Información actualizada exitosamente!,Informations mises à jour avec succès !
Page not found!,Page not found!,पृष्ठ नहीं मिला!,لم يتم العثور على الصفحة!,¡Página no encontrada!,Page introuvable !
Setup Page status updated successfully!,Setup Page status updated successfully!,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة صفحة الإعداد بنجاح!,¡El estado de la página de configuración se actualizó exitosamente!,L'état de la page de configuration a été mis à jour avec succès !
Section item added successfully!,Section item added successfully!,अनुभाग आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر القسم بنجاح!,¡El artículo de la sección se agregó correctamente!,Élément de section ajouté avec succès !
Section not found!,Section not found!,अनुभाग नहीं मिला!,لم يتم العثور على القسم!,¡Sección no encontrada!,Section introuvable !
Section item not found!,Section item not found!,अनुभाग आइटम नहीं मिला!,لم يتم العثور على عنصر القسم!,¡Artículo de sección no encontrado!,Élément de section introuvable !
Section item is invalid!,Section item is invalid!,अनुभाग आइटम अमान्य है!,عنصر القسم غير صالح!,¡El elemento de la sección no es válido!,L'élément de section n'est pas valide !
Section item updated successfully!,Section item updated successfully!,अनुभाग आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر القسم بنجاح!,¡El elemento de la sección se actualizó exitosamente!,Élément de section mis à jour avec succès !
Section item deleted successfully!,Section item deleted successfully!,अनुभाग आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر القسم بنجاح!,¡El elemento de la sección se eliminó correctamente!,Élément de section supprimé avec succès !
Section updated successfully!,Section updated successfully!,अनुभाग सफलतापूर्वक अद्यतन किया गया!,تم تحديث القسم بنجاح!,¡Sección actualizada exitosamente!,Section mise à jour avec succès !
Team item not found!,Team item not found!,टीम आइटम नहीं मिला!,لم يتم العثور على عنصر الفريق!,¡Artículo del equipo no encontrado!,Élément d'équipe introuvable !
Team item is invalid!,Team item is invalid!,टीम आइटम अमान्य है!,عنصر الفريق غير صالح!,¡El artículo del equipo no es válido!,L'élément d'équipe n'est pas valide !
Social link item not found!,Social link item not found!,सामाजिक लिंक आइटम नहीं मिला!,لم يتم العثور على عنصر الرابط الاجتماعي!,¡No se encontró el elemento de enlace social!,Élément de lien social introuvable !
Section Social item deleted successfully!,Section Social item deleted successfully!,अनुभाग सामाजिक आइटम सफलतापूर्वक हटा दिया गया!,تم حذف العنصر الاجتماعي للقسم بنجاح!,¡El elemento social de la sección se eliminó correctamente!,Section Élément social supprimé avec succès !
Category Already Exists!,Category Already Exists!,श्रेणी पहले से मौजूद है!,الفئة موجودة بالفعل!,¡La categoría ya existe!,La catégorie existe déjà !
Category Saved Successfully!,Category Saved Successfully!,श्रेणी सफलतापूर्वक सहेजी गई!,تم حفظ الفئة بنجاح!,¡Categoría guardada exitosamente!,Catégorie enregistrée avec succès !
Category Updated Successfully!,Category Updated Successfully!,श्रेणी सफलतापूर्वक अपडेट की गई!,تم تحديث الفئة بنجاح!,¡Categoría actualizada con éxito!,Catégorie mise à jour avec succès !
Category record not found in our system.,Category record not found in our system.,हमारे सिस्टम में श्रेणी रिकॉर्ड नहीं मिला.,سجل الفئة غير موجود في نظامنا.,Registro de categoría no encontrado en nuestro sistema.,Enregistrement de catégorie introuvable dans notre système.
Category status updated successfully!,Category status updated successfully!,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الفئة بنجاح!,¡El estado de la categoría se actualizó exitosamente!,Statut de la catégorie mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,श्रेणी सफलतापूर्वक हटा दी गई!,تم حذف الفئة بنجاح!,¡Categoría eliminada exitosamente!,Catégorie supprimée avec succès !
Announcement item added successfully!,Announcement item added successfully!,घोषणा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الإعلان بنجاح!,¡Artículo de anuncio agregado exitosamente!,Élément d'annonce ajouté avec succès !
Announcement item updated successfully!,Announcement item updated successfully!,घोषणा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الإعلان بنجاح!,¡El elemento del anuncio se actualizó correctamente!,Élément d'annonce mis à jour avec succès !
Announcement delete successfully!,Announcement delete successfully!,घोषणा सफलतापूर्वक हटा दी गई!,تم حذف الإعلان بنجاح!,¡Anuncio eliminado exitosamente!,Annonce supprimée avec succès !
Announcement record not found in our system.,Announcement record not found in our system.,हमारे सिस्टम में घोषणा रिकॉर्ड नहीं मिला.,سجل الإعلان غير موجود في نظامنا.,Registro de anuncio no encontrado en nuestro sistema.,Enregistrement d'annonce introuvable dans notre système.
Announcement status updated successfully!,Announcement status updated successfully!,घोषणा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعلان بنجاح!,¡El estado del anuncio se actualizó exitosamente!,Statut de l'annonce mis à jour avec succès !
Footer updated successfully!,Footer updated successfully!,फ़ुटर सफलतापूर्वक अपडेट किया गया!,تم تحديث التذييل بنجاح!,¡Pie de página actualizado exitosamente!,Pied de page mis à jour avec succès !
Social icon added successfully!,Social icon added successfully!,सामाजिक चिह्न सफलतापूर्वक जोड़ा गया!,تمت إضافة الرمز الاجتماعي بنجاح!,¡El ícono social se agregó exitosamente!,Icône sociale ajoutée avec succès !
Auth updated successfully!,Auth updated successfully!,प्रमाणीकरण सफलतापूर्वक अपडेट किया गया!,تم تحديث المصادقة بنجاح!,¡Autenticación actualizada exitosamente!,Authentification mise à jour avec succès !
This support ticket is closed.,This support ticket is closed.,यह समर्थन टिकट बंद है.,تم إغلاق تذكرة الدعم هذه.,Este ticket de soporte está cerrado.,Ce ticket d'assistance est fermé.
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,L'envoi du SMS a échoué ! Veuillez réessayer.
Failed to change status to active!,Failed to change status to active!,स्थिति को सक्रिय में बदलने में विफल!,فشل تغيير الحالة إلى نشطة!,¡No se pudo cambiar el estado a activo!,Échec du changement de statut en actif !
This ticket is already solved!,This ticket is already solved!,यह टिकट पहले ही हल हो चुका है!,تم حل هذه التذكرة بالفعل!,¡Este ticket ya está solucionado!,Ce ticket est déjà résolu !
Success,Success,सफलता,نجاح,Éxito,Succès
Page added successfully!,Page added successfully!,पेज सफलतापूर्वक जोड़ा गया!,تمت إضافة الصفحة بنجاح!,¡Página agregada exitosamente!,Page ajoutée avec succès !
Page updated successfully!,Page updated successfully!,पेज सफलतापूर्वक अपडेट किया गया!,تم تحديث الصفحة بنجاح!,¡Página actualizada exitosamente!,Page mise à jour avec succès !
Page record not found in our system.,Page record not found in our system.,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला.,سجل الصفحة غير موجود في نظامنا.,Registro de página no encontrado en nuestro sistema.,Enregistrement de page introuvable dans notre système.
Page status updated successfully!,Page status updated successfully!,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الصفحة بنجاح!,¡El estado de la página se actualizó exitosamente!,Statut de la page mis à jour avec succès !
Page deleted successfully!,Page deleted successfully!,पेज सफलतापूर्वक हटा दिया गया!,تم حذف الصفحة بنجاح!,¡Página eliminada exitosamente!,Page supprimée avec succès !
Email successfully sended,Email successfully sended,ईमेल सफलतापूर्वक भेजा गया,تم إرسال البريد الإلكتروني بنجاح,Correo electrónico enviado correctamente,E-mail envoyé avec succès
Basic settings updated successfully!,Basic settings updated successfully!,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث الإعدادات الأساسية بنجاح!,¡La configuración básica se actualizó correctamente!,Paramètres de base mis à jour avec succès !
You have to configure your system mail first.,You have to configure your system mail first.,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Primero debe configurar el correo de su sistema.,Vous devez d'abord configurer votre messagerie système.
Basic settings status updated successfully!,Basic settings status updated successfully!,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعدادات الأساسية بنجاح!,¡El estado de la configuración básica se actualizó correctamente!,L'état des paramètres de base a été mis à jour avec succès !
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données
No changes to update.,No changes to update.,अद्यतन करने के लिए कोई परिवर्तन नहीं.,لا توجد تغييرات للتحديث.,No hay cambios para actualizar.,Aucune modification à mettre à jour.
Image assets updated successfully!.,Image assets updated successfully!.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!,تم تحديث أصول الصورة بنجاح!.,Recursos de imagen actualizados exitosamente.,Les éléments d'image ont été mis à jour avec succès !.
Splash Screen fetched successfully!,Splash Screen fetched successfully!,स्पलैश स्क्रीन सफलतापूर्वक प्राप्त हुई!,تم جلب شاشة البداية بنجاح!,¡La pantalla de bienvenida se obtuvo correctamente!,Écran de démarrage récupéré avec succès !
You can resend verification code after,You can resend verification code after,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Puedes reenviar el código de verificación después,Vous pouvez renvoyer le code de vérification après
User Registration is currently disabled from admin,User Registration is currently disabled from admin,उपयोगकर्ता पंजीकरण वर्तमान में व्यवस्थापक से अक्षम है,تسجيل المستخدم معطل حاليا من المشرف,El registro de usuario está actualmente deshabilitado desde el administrador.,L'inscription des utilisateurs est actuellement désactivée depuis l'administrateur
User dashboard data fetched successfully!,User dashboard data fetched successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se obtuvieron correctamente!,Les données du tableau de bord utilisateur ont été récupérées avec succès !
User Notification data fetched successfully!,User Notification data fetched successfully!,उपयोगकर्ता अधिसूचना डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات إشعار المستخدم بنجاح!,¡Los datos de notificación del usuario se obtuvieron correctamente!,Les données de notification utilisateur ont été récupérées avec succès !
Message Send Successfully!,Message Send Successfully!,संदेश सफलतापूर्वक भेजा गया!,تم إرسال الرسالة بنجاح!,¡Mensaje enviado exitosamente!,Message envoyé avec succès !
Subscribed Successfully!,Subscribed Successfully!,सफलतापूर्वक सदस्यता ली!,تم الاشتراك بنجاح!,¡Suscrito exitosamente!,Abonné avec succès !
Oops! Language Not Found!,Oops! Language Not Found!,उफ़! भाषा नहीं मिली!,أُووبس! اللغة غير موجودة!,¡Ups! ¡Idioma no encontrado!,Oups ! Langue introuvable !
Language Switch to,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a,Langue Passer à
Verification code sended to your email address.,Verification code sended to your email address.,सत्यापन कोड आपके ईमेल पते पर भेजा गया।,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Código de verificación enviado a su dirección de correo electrónico.,Code de vérification envoyé à votre adresse e-mail.
Password Reset Token Expired,Password Reset Token Expired,पासवर्ड रीसेट टोकन समाप्त हो गया,انتهت صلاحية رمز إعادة تعيين كلمة المرور,El token de restablecimiento de contraseña expiró,Jeton de réinitialisation du mot de passe expiré
Session expired. Please try again.,Session expired. Please try again.,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें।,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى.,La sesión expiró. Por favor inténtalo de nuevo.,Session expirée. Veuillez réessayer.
Something went wrong. please try again,Something went wrong. please try again,कुछ गलत हो गया। कृपया पुन: प्रयास करें,حدث خطأ ما. يرجى المحاولة مرة أخرى,Algo salió mal. por favor intenta de nuevo,Quelque chose s'est mal passé. s'il te plaît réessaye
Verification code resend success!,Verification code resend success!,सत्यापन कोड पुनः भेजना सफल!,تمت إعادة إرسال رمز التحقق بنجاح!,¡El reenvío del código de verificación fue exitoso!,Le code de vérification a été renvoyé avec succès !
Password reset success. Please login with new password.,Password reset success. Please login with new password.,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe.
Invalid otp code,Invalid otp code,अमान्य ओटीपी कोड,رمز OTP غير صالح,código otp no válido,Code OTP invalide
Mail OTP Resend Success!,Mail OTP Resend Success!,मेल ओटीपी पुनः भेजें सफलता!,نجاح إعادة إرسال البريد OTP!,¡Reenvío de OTP por correo exitoso!,Mail OTP Renvoyer avec succès !
Profile successfully updated!,Profile successfully updated!,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!,تم تحديث الملف الشخصي بنجاح!,¡Perfil actualizado exitosamente!,Profil mis à jour avec succès !
Password successfully updated!,Password successfully updated!,पासवर्ड सफलतापूर्वक अपडेट किया गया!,تم تحديث كلمة المرور بنجاح!,¡Contraseña actualizada exitosamente!,Mot de passe mis à jour avec succès !
Password Changed successfully login again!,Password Changed successfully login again!,पासवर्ड सफलतापूर्वक बदला गया फिर से लॉगिन करें!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!,"Mot de passe modifié, connectez-vous à nouveau !"
New password & confirm password is not same!,New password & confirm password is not same!,नया पासवर्ड और कन्फर्म पासवर्ड एक समान नहीं है!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!,Le nouveau mot de passe et la confirmation du mot de passe ne sont pas les mêmes !
Password not updated!,Password not updated!,पासवर्ड अपडेट नहीं हुआ!,لم يتم تحديث كلمة المرور!,¡Contraseña no actualizada!,Mot de passe non mis à jour !
Your account is not activated check mail inbox/spam.,Your account is not activated check mail inbox/spam.,"आपका खाता सक्रिय नहीं है, मेल इनबॉक्स/स्पैम जांचें।",لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي.,Tu cuenta no está activada revisa tu bandeja de entrada/spam.,"Votre compte n'est pas activé, vérifiez la boîte de réception/spam."
Email-Address And Password Are Wrong.,Email-Address And Password Are Wrong.,ईमेल-पता और पासवर्ड ग़लत हैं.,عنوان البريد الإلكتروني وكلمة المرور خاطئان.,La dirección de correo electrónico y la contraseña son incorrectas.,L'adresse e-mail et le mot de passe sont erronés.
Message deleted successfully!,Message deleted successfully!,संदेश सफलतापूर्वक हटा दिया गया!,تم حذف الرسالة بنجاح!,¡Mensaje eliminado exitosamente!,Message supprimé avec succès !
Mail From Address,Mail From Address,मेल पते से,البريد من العنوان,Correo desde la dirección,Adresse du courrier depuis
TRUE,TRUE,सत्य,حقيقي,VERDADERO,VRAI
Register,Register,पंजीकरण करवाना,يسجل,Registro,Registre
Not Found,Not Found,नहीं मिला,لم يتم العثور عليه,Extraviado,Introuvable
Page Expired,Page Expired,पेज समाप्त हो गया,انتهت صلاحية الصفحة,Página caducada,Page expirée
Server Error,Server Error,सर्वर त्रुटि,خطأ في الخادم,Error del servidor,Erreur de serveur
Previous,Previous,पहले का,سابق,Anterior,Précédent
Please confirm your password before continuing.,Please confirm your password before continuing.,कृपया जारी रखने से पहले अपने पासवर्ड की पुष्टि करें।,الرجاء تأكيد كلمة المرور الخاصة بك قبل المتابعة.,Confirme su contraseña antes de continuar.,Veuillez confirmer votre mot de passe avant de continuer.
Forgot Your Password?,Forgot Your Password?,अपना कूट शब्द भूल गए?,نسيت كلمة السر؟,¿Olvidaste tu contraseña?,Vous avez oublié votre mot de passe ?
Send Password Reset Link,Send Password Reset Link,पासवर्ड रीसेट लिंक भेजें,إرسال رابط إعادة تعيين كلمة المرور,Enviar enlace para restablecer contraseña,Envoyer le lien de réinitialisation du mot de passe
Remember Me,Remember Me,मुझे याद करो,تذكرنى,Acuérdate de mí,Souviens-toi de moi
Verify Your Email Address,Verify Your Email Address,अपने ईमेल पते की पुष्टि करें,تحقق من عنوان بريدك الإلكتروني,Verifique su dirección de correo electrónico,Vérifiez votre adresse e-mail
